RegionCode,Region,Year,All deaths by area of usual residence,Male deaths by area of usual residence,Female deaths by area of usual residence
E07000211,Reigate and Banstead,2017,1393,657,736
E07000212,Runnymede,2017,757,375,382
E07000213,Spelthorne,2017,860,429,431
E07000214,Surrey Heath,2017,782,361,421
E07000215,Tandridge,2017,849,401,448
E07000216,Waverley,2017,1164,549,615
E07000217,Woking,2017,755,383,372
E92000001,England,2018,505859,250012,255847
E12000008,South East,2018,82623,40210,42413
E10000030,Surrey,2018,9979,4741,5238
E07000207,Elmbridge,2018,1142,523,619
E07000208,Epsom and Ewell,2018,579,294,285
E07000209,Guildford,2018,1043,506,537
E07000210,Mole Valley,2018,805,398,407
E07000211,Reigate and Banstead,2018,1286,595,691
E07000212,Runnymede,2018,720,352,368
E07000213,Spelthorne,2018,891,427,464
E07000214,Surrey Heath,2018,768,360,408
E07000215,Tandridge,2018,806,389,417
E07000216,Waverley,2018,1206,535,671
E07000217,Woking,2018,733,362,371
