RegionCode,Region,Time Period,Birth rate - Total number of births,Birth rate - Male births,Birth rate - Female births,Birth rate - Crude birth rate,Birth rate - General fertility rate (GFR),Birth rate - Total fertility rate (TFR),Birth rate - Percentage of births outside marriage/civil partnership
E92000001,England,2016,663157,340159,322998,12,62.5,1.81,47.1
E12000008,South East,2016,101982,52135,49847,11.3,61.4,1.84,43.1
E10000030,Surrey,2016,13423,6798,6625,11.4,62.8,1.9,33.2
E07000207,Elmbridge,2016,1646,857,789,12.4,73.4,2.23,27.4
E07000208,Epsom and Ewell,2016,950,490,460,11.9,63,1.91,32
E07000209,Guildford,2016,1533,760,773,10.4,50.1,1.59,31.3
E07000210,Mole Valley,2016,770,391,379,8.9,57.9,1.85,34
E07000211,Reigate and Banstead,2016,1796,883,913,12.3,66.8,1.93,35.1
E07000212,Runnymede,2016,954,464,490,11,50.4,1.64,37.5
E07000213,Spelthorne,2016,1346,687,659,13.6,74,2.14,39.7
E07000214,Surrey Heath,2016,884,455,429,10,58.5,1.83,35.9
E07000215,Tandridge,2016,956,496,460,11,64.5,1.96,37.4
E07000216,Waverley,2016,1251,621,630,10.1,62.2,2,30.4
E07000217,Woking,2016,1337,694,643,13.4,72.6,2.14,28.7
E92000001,England,2017,646794,331544,315250,11.6,61.2,1.76,47.6
E12000008,South East,2017,99108,51038,48070,10.9,60,1.79,43.9
E10000030,Surrey,2017,12881,6601,6280,10.9,60.1,1.81,34.7
E07000207,Elmbridge,2017,1659,847,812,12.2,71.4,2.16,29.7
E07000208,Epsom and Ewell,2017,943,487,456,11.9,63.7,1.94,33.1
E07000209,Guildford,2017,1393,707,686,9.4,45.5,1.46,34.3
E07000210,Mole Valley,2017,787,390,397,9,58.4,1.85,33
E07000211,Reigate and Banstead,2017,1719,861,858,11.7,64.1,1.88,38
E07000212,Runnymede,2017,893,449,444,10.3,47.6,1.53,40.5
E07000213,Spelthorne,2017,1204,639,565,12.1,66.8,1.92,40.4
E07000214,Surrey Heath,2017,865,445,420,9.7,57.2,1.77,36.4
E07000215,Tandridge,2017,916,483,433,10.5,61.7,1.84,39.1
E07000216,Waverley,2017,1211,624,587,9.7,60.4,1.93,32
E07000217,Woking,2017,1291,669,622,12.8,69.3,1.99,28
E92000001,England,2018,625651,321513,304138,11.2,59.2,1.7,47.8
E12000008,South East,2018,96748,49721,47027,10.6,58.7,1.74,44.1
E10000030,Surrey,2018,12749,6558,6191,10.7,59.7,1.8,35.4
E07000207,Elmbridge,2018,1526,763,763,11.2,67,2.05,29.9
E07000208,Epsom and Ewell,2018,904,465,439,11.3,61.8,1.89,33.6
E07000209,Guildford,2018,1378,714,664,9.3,45,1.47,35.3
E07000210,Mole Valley,2018,775,392,383,8.9,58,1.84,38.5
E07000211,Reigate and Banstead,2018,1709,862,847,11.6,63.3,1.86,38.1
E07000212,Runnymede,2018,975,508,467,11.1,50.9,1.62,38.2
E07000213,Spelthorne,2018,1229,627,602,12.4,68.3,1.98,40.7
E07000214,Surrey Heath,2018,792,414,378,8.9,52.9,1.63,35.6
E07000215,Tandridge,2018,984,504,480,11.2,66.8,1.99,41
E07000216,Waverley,2018,1191,643,548,9.5,59.8,1.92,30.1
E07000217,Woking,2018,1286,666,620,12.7,70.1,2.04,31.4
